ID,Name,Type,Jan 2015 (kBtu),Feb 2015 (kBtu),Mar 2015 (kBtu),Apr 2015 (kBtu),May 2015 (kBtu),Jun 2015 (kBtu),Jul 2015 (kBtu),Aug 2015 (kBtu),Sep 2015 (kBtu),Oct 2015 (kBtu),Nov 2015 (kBtu),Dec 2015 (kBtu),Jan 2016 (kBtu),Feb 2016 (kBtu),Mar 2016 (kBtu),Apr 2016 (kBtu),May 2016 (kBtu),Jun 2016 (kBtu),Jul 2016 (kBtu),Aug 2016 (kBtu),Sep 2016 (kBtu),Oct 2016 (kBtu),Nov 2016 (kBtu),Dec 2016 (kBtu),Jan 2017 (kBtu),Feb 2017 (kBtu),Mar 2017 (kBtu),Apr 2017 (kBtu),May 2017 (kBtu),Jun 2017 (kBtu),Jul 2017 (kBtu),Aug 2017 (kBtu),Sep 2017 (kBtu),Oct 2017 (kBtu),Nov 2017 (kBtu),Dec 2017 (kBtu),Jan 2018 (kBtu),Feb 2018 (kBtu),Mar 2018 (kBtu),Apr 2018 (kBtu),May 2018 (kBtu),Jun 2018 (kBtu),Jul 2018 (kBtu),Aug 2018 (kBtu),Sep 2018 (kBtu),Oct 2018 (kBtu),Nov 2018 (kBtu),Dec 2018 (kBtu),Jan 2019 (kBtu),Feb 2019 (kBtu),Mar 2019 (kBtu),Apr 2019 (kBtu),May 2019 (kBtu),Jun 2019 (kBtu),Jul 2019 (kBtu),Aug 2019 (kBtu),Sep 2019 (kBtu),Oct 2019 (kBtu),Nov 2019 (kBtu),Dec 2019 (kBtu),Jan 2020 (kBtu),Feb 2020 (kBtu),Mar 2020 (kBtu),Apr 2020 (kBtu),May 2020 (kBtu),Jun 2020 (kBtu),Jul 2020 (kBtu),Aug 2020 (kBtu),Sep 2020 (kBtu),Oct 2020 (kBtu),Nov 2020 (kBtu),Dec 2020 (kBtu),Jan 2021 (kBtu),Feb 2021 (kBtu),Mar 2021 (kBtu),Apr 2021 (kBtu),May 2021 (kBtu),Jun 2021 (kBtu),Jul 2021 (kBtu),Aug 2021 (kBtu),Sep 2021 (kBtu),Oct 2021 (kBtu),Nov 2021 (kBtu),Dec 2021 (kBtu),Jan 2022 (kBtu),Feb 2022 (kBtu),Mar 2022 (kBtu),Apr 2022 (kBtu),May 2022 (kBtu),Jun 2022 (kBtu),Jul 2022 (kBtu),Aug 2022 (kBtu),Sep 2022 (kBtu),Oct 2022 (kBtu),Nov 2022 (kBtu),Dec 2022 (kBtu),Jan 2023 (kBtu),Feb 2023 (kBtu),Mar 2023 (kBtu),Apr 2023 (kBtu),May 2023 (kBtu),Jun 2023 (kBtu),Jul 2023 (kBtu),Aug 2023 (kBtu),Sep 2023 (kBtu),Oct 2023 (kBtu),Nov 2023 (kBtu),Dec 2023 (kBtu),Total
014,Harford Hall,Other,"50,158","93,493","80,868","91,787","81,209","40,604","60,736","58,006","107,482","104,412","90,081","73,361","60,395","94,858","81,209","103,047","65,172","56,300","62,783","86,668","102,364","98,952","85,986","82,233","58,689","89,398","88,374","94,516","73,702","65,513","68,243","88,033","94,858","90,081","72,644","44,494","60,081","95,055","85,553","93,875","74,835","49,148","62,920","91,097","101,286","103,954","83,454","69,584","60,265","67,588","73,562","89,255","74,337","49,265","90,456","130,770","156,283","139,888","88,357","65,305","53,318","94,803","64,268","55,823","63,282","75,879","68,547","100,140","136,441","72,078","72,484","52,523","46,903","71,065","64,947","75,780","71,283","57,696","46,333","91,486","139,570","130,719","84,532","68,741","55,857","87,750","75,889","96,171","87,545","76,521","91,712","106,469","159,917","130,801","96,659","76,671","56,730","95,475","88,054","106,541","98,611","84,700","81,257","140,870","142,815","147,483","116,313","82,867","9,139,203"
015,Calvert Hall,Residential,"53,912","64,694","60,463","64,285","71,382","25,932","30,982","42,720","60,190","64,421","64,421","58,378","54,287","62,483","62,514","59,631","51,810","45,586","44,010","49,094","59,296","63,155","61,401","61,299","54,874","56,225","61,504","57,853","49,664","42,652","56,662","53,912","55,959","58,689","57,174","46,624","38,093","58,921","60,777","58,126","56,041","49,551","49,394","57,764","59,074","67,680","61,958","58,894","56,580","46,815","58,900","63,868","43,085","39,714","47,640","61,790","67,438","71,976","54,396","49,964","46,654","50,561","42,188","35,326","52,049","43,160","44,576","49,442","62,845","54,448","45,750","45,262","42,853","49,486","46,490","52,308","46,398","40,792","48,589","50,472","57,935","58,116","51,479","48,138","43,853","46,869","47,562","50,578","43,996","40,908","40,560","47,395","55,055","52,718","47,801","47,221","36,786","34,463","46,743","48,852","46,746","47,023","39,400","60,228","50,643","57,549","58,204","46,275","5,629,324"
016,Baltimore Hall,Residential,"19,330","26,465","25,731","30,934","28,969","20,565","18,579","19,825","33,968","30,157","26,567","23,216","20,759","27,645","25,120","27,891","23,400","16,556","19,436","25,806","33,507","27,922","24,683","23,179","18,907","23,042","24,960","29,058","23,196","9,076","19,726","21,906","31,603","31,453","19,555","25,547","16,440","27,451","28,843","28,079","25,079","19,552","23,428","29,153","31,245","32,194","30,515","24,748","22,851","22,551","27,785","31,917","25,652","18,801","30,266","28,621","35,804","37,523","27,321","24,236","20,091","26,519","22,336","15,542","19,988","15,839","28,526","24,141","36,114","29,170","26,448","22,111","17,296","24,492","24,052","28,290","22,131","17,381","19,142","24,008","37,974","35,729","27,198","25,925","21,906","26,625","25,308","29,727","25,564","21,561","20,418","24,294","35,196","31,068","28,679","24,199","17,941","26,188","25,519","29,433","26,990","22,455","20,988","28,427","25,530","25,591","28,345","20,210","2,730,897"
017,Cecil Hall,Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
018,Police Substation,Other,611,"25,356","15,570","1,973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,511"
019,Satellite Central Utilities Building Scub 1,Other,"1,848,866","2,553,215","1,713,829","955,787","724,941","354,422","576,622","639,215","652,756","655,881","1,061,609","1,330,641","2,314,862","2,200,728","1,506,812","1,286,867","525,098","584,172","758,215","747,086","781,440","624,112","1,223,843","1,909,232","1,800,444","1,517,340","1,751,651","1,613,269","586,315","577,905","797,871","609,839","608,401","711,634","1,319,803","1,906,195","451,292","2,422,392","1,888,473","999,327","647,887","530,955","511,246","648,362","563,309","765,914","1,442,609","1,674,639","2,076,043","1,767,264","1,514,169","798,844","591,717","438,498","691,203","751,982","763,256","692,713","1,484,099","1,891,874","1,849,787","1,725,111","1,065,891","770,738","340,545","162,052","196,443","574,976","616,655","797,097","995,788","1,929,478","1,968,166","2,404,631","1,404,060","436,496","349,245","439,267","516,029","594,988","671,233","581,356","1,308,404","1,451,220","2,591,760","2,119,729","1,702,405","961,660","848,000","691,438","765,103","800,601","884,464","1,204,327","1,740,052","2,218,868","1,857,336","1,703,258","1,553,725","727,421","605,471","584,059","556,160","873,211","705,425","665,184","1,735,689","2,392,505","120,976,498"
020,Motorcycle Storage Building,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021,Prince Georges Hall,Residential,"43,948","61,828","58,279","61,828","53,093","48,452","55,277","42,993","71,791","62,783","61,146","50,363","43,948","56,642","55,959","63,193","39,444","33,303","30,982","58,825","66,059","60,736","63,329","60,736","49,271","62,237","67,287","65,513","47,497","51,046","45,177","56,096","59,371","59,644","55,563","38,680","35,568","55,331","59,607","58,754","50,496","35,244","34,951","47,702","67,151","68,826","62,063","50,820","44,457","46,105","54,352","61,456","49,363","38,056","40,437","51,435","68,901","68,594","50,947","45,173","40,427","70,249","41,925","33,135","34,149","30,163","35,544","37,121","41,181","35,742","39,233","36,390","32,422","40,860","39,519","44,955","38,584","32,282","37,291","41,966","63,797","57,754","52,230","50,472","44,293","55,430","59,542","56,109","42,198","32,572","35,517","42,143","61,453","58,129","54,403","55,864","42,215","56,693","57,826","55,618","49,694","34,650","28,147","49,971","54,516","51,974","56,764","43,460","5,394,688"
022,Kent Hall,Residential,"18,426","24,294","48,179",0,"23,749","17,334","22,930","17,334","29,344","28,662","26,478","19,381","18,562","24,431","25,523","28,935","17,880","12,011","13,922","22,520","27,024","27,297","24,704","23,885","17,334","22,247","26,615","26,615","18,016","19,654","19,504","20,759","25,646","25,809","20,991","12,693","18,224","21,050","22,779","23,844","21,725","15,048","17,119","27,263","25,482","27,649","25,656","21,984","18,385","19,053","23,063","25,199","19,633","12,867","18,422","22,329","29,897","32,446","24,025","20,951","17,282","24,114","18,538","13,092","16,293","12,082","13,857","16,805","26,175","24,465","19,825","17,207","13,447","20,855","20,183","22,882","18,279","13,437","12,260","18,306","29,358","28,771","22,981","20,132","15,802","22,039","23,035","25,963","21,264","13,925","16,000","20,179","27,423","27,823","24,318","18,890","13,724","19,773","21,609","26,611","22,240","20,886","15,351","24,758","24,513","26,860","23,902","16,000","2,306,294"
023,Washington Hall,Residential,"23,796","32,804","31,719","37,005","38,192","24,967","20,865","23,789","40,867","35,032","28,563","25,472","23,445","30,651","31,119","34,828","30,085","24,090","22,674","25,441","38,213","31,992","28,355","27,857","21,490","27,516","29,024","34,664","29,297","35,009","23,909","23,271","37,250","34,456","27,966","16,187","20,398","28,239","28,652","27,277","33,589","18,705","28,754","30,341","36,118","36,080","31,641","27,536","25,165","24,758","31,358","38,598","33,255","20,998","25,547","25,963","33,644","38,318","28,771","25,908","23,117","33,514","28,932","17,675","22,721","16,897","29,491","22,739","35,793","31,671","28,751","26,615","20,517","30,139","27,925","31,774","25,130","22,213","16,044","21,340","37,701","34,643","26,369","26,540","22,339","27,655","30,402","33,661","26,396","20,558","19,111","19,446","34,807","33,180","33,279","32,490","21,756","32,521","32,241","34,705","32,709","25,608","23,254","30,242","31,259","32,415","35,749","24,387","3,079,891"
024,Allegany Hall,Residential,"33,439","135,844","69,608","65,377","52,956","52,956","39,035","35,210","322,963","78,698","69,034","55,157","47,463","65,646","64,421","66,506","54,294","42,297","33,398","42,771","73,532","73,532","62,828","58,477","45,822","60,217","65,619","67,711","51,701","39,069","54,775","47,698","63,084","63,029","43,634","45,231","47,808","56,249","57,375","57,061","58,627","37,360","38,687","59,190","71,310","73,013","66,052","55,826","48,732","47,429","56,645","68,659","53,386","45,190","52,864","61,702","72,825","80,851","55,700","48,804","43,129","58,334","44,539","30,157","39,219","28,966","53,062","45,863","75,303","58,679","53,301","44,064","35,155","55,147","50,571","61,835","48,019","34,995","29,467","39,656","64,595","67,188","57,597","52,124","43,860","54,444","56,758","64,735","55,342","44,617","41,519","50,104","68,826","64,179","61,668","49,131","37,302","55,792","52,687","60,426","55,174","50,428","41,345","66,977","29,314","64,851","55,823","29,570","6,140,214"
025,Charles Hall,Residential,"19,381","25,659","25,089","26,168","24,021","5,732","18,289","19,108","29,754","33,848","31,119","23,749","19,992","26,205","27,324","28,365","11,202","18,378","20,186","22,247","31,016","31,733","27,283","24,591","20,633","23,892","26,451","29,382","25,151","13,703","16,853","18,477","20,353","31,719","18,337","23,319","6,985","12,662","12,813","12,267","11,062","7,186","9,871","11,513","13,788","14,645","14,249","13,819","12,751","10,799","12,836","14,758","10,851","6,159","12,891","14,014","16,883","19,514","14,433","12,287","10,960","14,798","11,502","7,677","9,957","7,261","11,789","11,270","18,364","15,331","14,290","11,642","9,380","15,075","13,294","16,061","11,581","8,189","9,544","11,547","17,760","19,081","12,212","12,246","10,567","14,430","14,171","15,914","11,588","6,053","6,497","3,938","4,354","6,370","14,515","13,614","9,230","11,441","11,311","10,660","14,850","18,873","16,498","25,025","28,048","27,352","26,509","22,472","1,782,837"
026,South Campus Dining Hall,Office,"2,651,652","3,148,682","2,754,759","2,138,252","1,904,644","1,581,459","1,695,502","1,683,859","2,107,584","2,314,114","2,773,134","3,098,832","3,512,360","4,188,693","3,134,851","3,136,051","2,152,660","2,259,239","2,601,635","2,856,262","3,202,092","3,559,411","4,084,942","4,157,687","4,105,739","4,106,544","4,458,384","3,480,564","2,656,157","1,936,093","2,577,026","2,827,805","3,081,204","3,455,525","3,723,561","3,340,593","3,744,815","4,428,511","4,241,892","3,394,097","2,630,086","2,078,082","2,011,431","2,972,231","3,487,772","3,605,635","4,374,390","3,151,449","2,994,527","2,682,481","2,746,314","3,105,725","2,917,751","2,427,811","2,960,622","3,196,247","3,456,135","3,494,206","3,600,848","4,429,206","4,047,744","4,418,550","3,528,103","3,054,739","3,184,268","2,512,112","2,826,470","3,136,464","3,857,852","3,132,668","3,430,061","4,266,158","3,618,866","3,809,665","3,768,491","3,471,976","2,192,060","2,725,460","3,084,495","3,379,925","3,879,894","3,502,348","3,168,789","3,222,788","3,494,131","3,602,445","3,064,889","2,266,433","1,365,546","1,001,600","1,041,840","1,189,226","1,795,910","1,773,064","2,454,108","3,418,117","2,641,309","3,020,745","3,142,116","2,716,933","2,482,992","2,476,857","2,267,876","3,143,590","2,766,430","2,711,898","3,158,784","2,377,338","325,173,940"
028,Howard Hall,Residential,"31,381","30,501","30,030","23,124","17,944","17,944","25,113","26,857","30,655","34,166","35,555","35,592","31,610","31,010","30,402","29,361","30,764","26,584","26,584","28,092","35,193","39,066","38,349","39,775","37,018","33,937","37,878","35,827","14,822","21,565","19,603","20,391","24,025","27,127","20,285","27,171","33,337","21,694","21,807","33,176","23,963","22,053","27,563","22,913","22,994","26,601","27,352","23,680","23,680","23,680","23,680","22,698","19,746","16,156","17,477","22,073","21,050","25,270","22,179","22,520","19,552","20,210","17,180","14,007","16,034","11,697","15,512","15,259","21,121","16,699","17,586","17,282","14,949","16,726","16,126","17,477","13,997","12,618","11,779","14,078","18,071","19,671","18,518","19,036","17,392","17,586","18,736","18,361","15,979","16,679","13,727","15,433","17,805","17,999","16,539","17,699","13,478","14,819","15,024","16,078","15,385","12,956","10,745","15,996","15,075","17,494","17,627","14,290","2,390,731"
